symbol,entry_date,entry_price,quantity,investment,additional_capital_needed,cash_after_entry,stop_loss,take_profit,exit_date,exit_price,exit_reason,pnl,return_pct
IDFCFIRSTB,2021-08-11,45.9,3,137.7,0,2840670.9657995705,42.921969370963104,50.73005104839483,2021-08-20,42.921969370963104,stop_loss,-8.934091887110682,-6.488084159121773
TVSMOTOR,2021-08-18,529.0,680,359720.0,0,2481079.7317076833,493.6625076173903,584.0062385739144,2021-10-13,584.0062385739144,take_profit,37404.24223026179,10.398154739870396
COALINDIA,2021-08-18,108.25,3,324.75,0,2877879.223937945,100.01822839288327,118.12812592854009,2021-09-08,118.12812592854009,take_profit,29.63437778562026,9.125289541376523
IDFCFIRSTB,2021-08-23,42.05,3,126.14999999999999,0,2878107.4583157306,38.9806895870266,46.498850688289,2021-09-07,46.498850688289,take_profit,13.346552064866998,10.579906511983351
COLPAL,2021-10-20,1637.05,610,998600.5,0,1879646.4548677956,1595.622606503561,1716.904786992878,2021-10-21,1595.622606503561,stop_loss,-25270.710032827777,-2.5306125956103345
ZYDUSLIFE,2021-10-20,526.1,1900,999590.0,0,1853386.244834968,495.0574219860298,559.1425780139703,2021-10-25,495.0574219860298,stop_loss,-58980.89822654343,-5.9005090313572
COLPAL,2021-10-22,1605.0,623,999915.0,0,1794080.3466084246,1550.0540586688844,1680.5418826622308,2021-10-25,1550.0540586688844,stop_loss,-34231.32144928502,-3.4234231358950526
APOLLOHOSP,2021-10-25,4045.4,210,849534.0,0,1910230.0251591397,3669.971838473258,4458.513793832091,2021-11-04,4458.513793832091,take_profit,86753.89670473916,10.211939334357325
DABUR,2021-10-26,582.0,1718,999876.0,0,1846641.921863879,548.3291125503497,620.8650649395802,2021-11-08,620.8650649395802,take_profit,66770.18156619875,6.677846209549859
COLPAL,2021-10-26,1520.0,598,908960.0,0,2004328.103430078,1484.4223771175557,1628.2052457648883,2021-11-17,1484.4223771175557,stop_loss,-21275.418483701695,-2.340633084371336
ZYDUSLIFE,2021-10-26,502.0,2,1004.0,0,2891008.6849463764,465.06664747352545,532.7333525264745,2021-11-18,465.06664747352545,stop_loss,-73.8667050529491,-7.357241539138356
ZYDUSLIFE,2021-11-22,463.4,2157,999553.7999999999,0,1892385.0182413235,430.89632555267815,494.4036744473218,2022-01-18,430.89632555267815,stop_loss,-70110.42578287318,-7.014172301968456
TATACONSUM,2021-11-29,757.35,1320,999702.0,0,1822126.39245845,702.6236595989448,822.9116084812662,2021-12-20,702.6236595989448,stop_loss,-72238.76932939295,-7.2260302899657045
HEROMOTOCO,2021-11-30,2317.85,385,892372.25,0,1857217.3731290572,2213.188749583094,2510.9668756253595,2021-12-20,2213.188749583094,stop_loss,-40294.58141050885,-4.515445366046383
BPCL,2021-11-30,164.0,1,164.0,0,2709131.041718548,154.58699496702613,178.9260100659477,2021-12-09,178.9260100659477,take_profit,14.926010065947708,9.101225649968114
TATASTEEL,2021-12-01,105.6,1,105.6,0,2709204.3677286142,94.28581442920743,112.71418557079257,2021-12-08,112.71418557079257,take_profit,7.114185570792571,6.736918154159632
KOTAKBANK,2021-12-21,1761.05,567,998515.35,0,1710801.731914185,1598.2685672500463,1915.577719299944,2022-01-05,1915.577719299944,take_profit,87617.21684306825,8.774749115581274
CHOLAFIN,2021-12-21,498.65,1566,780885.8999999999,0,2016048.3987572533,445.6826977873237,539.9173022126763,2021-12-23,539.9173022126763,take_profit,64624.59526505113,8.27580511634941
COALINDIA,2021-12-21,110.8,4,443.2,0,2861115.6940223044,98.86581288826488,122.70102453408214,2022-01-03,122.70102453408214,take_profit,47.60409813632856,10.74099687191529
ZYDUSLIFE,2022-01-19,421.0,2375,999875.0,0,1861731.4981204406,394.3350248603863,449.76497513961374,2022-01-24,394.3350248603863,stop_loss,-63329.31595658258,-6.333723311072141
MARICO,2022-01-25,470.0,2127,999690.0,0,1798587.1821638579,452.1124725230717,490.68752747692827,2022-01-31,490.68752747692827,take_profit,44002.370943426424,4.401601590835801
